Threshold 1,Threshold 2,Threshold 3
0.0714,0.9138,1.4808
-0.4087,0.7089,1.7598
-0.3272,0.2849,1.1315
-0.2185,1.1038,1.8449
-1.7175,-0.2201,1.4059
-2.4468,-1.5027,0.4702
-1.2818,0.2888,1.4108
-0.7118,0.4222,1.641
0.1486,0.912,1.5934
0.8299,1.5544,1.6396
-1.8321,-0.4259,1.2256
