Threshold 1,Threshold 2,Threshold 3,Threshold 4
-0.9901,-0.2548,0.8578,1.1588
0.0498,0.681,NA,NA
-1.2655,0.1764,0.5876,NA
-0.3052,0.109,0.4888,NA
0.0075,0.2422,0.5413,NA
-0.7423,1.337,NA,NA
-0.0302,0.2623,0.8194,NA
-0.2115,0.7203,1.1745,NA
