Threshold 1,Threshold 2,Threshold 3
-0.8773,1.0175,2.5256
0.0102,0.2047,0.8582
-0.4687,0.4146,0.5964
-0.4178,0.9418,NA
-1.1392,-0.468,0.4591
-0.8775,0.5785,2.0173
