itemnr,item
f101b,Om en vuxen såg mig göra något olagligt i mitt bostadsområde skulle nog mina föräldrar få reda på det.
f101c,Vuxna skulle ingripa om någon helt öppet försökte sälja narkotika till ungdomar.
f101g,"Det är ovanligt med våldsbrott (misshandel, rån, våldtäkt) i det här bostadsområdet."
f101i,Om jag blev rånad på en allmän plats i bostadsområdet skulle vuxna ingripa.
f101j,Mina grannar brukar heja/hälsa på mig när vi möts.
f101l,Om jag var tvungen att flytta skulle jag sakna bostadsområdet jag bor i.
