Threshold 1,Threshold 2,Threshold 3
-1.0809,-0.2039,0.3644
-0.5145,0.1767,0.6
0.1221,-0.5071,-0.2216
-0.6092,0.6512,1.0406
-0.2287,2.1714,NA
0.1155,0.7052,0.7596
