Year,estimate_(Intercept),estimate_Parenting,std.error_(Intercept),std.error_Parenting
2006,-0.078,0.578,0.018,0.022
2008,0.044,0.567,0.017,0.02
2010,-0.01,0.551,0.017,0.021
2012,-0.026,0.582,0.018,0.021
2014,-0.141,0.553,0.02,0.023
2016,-0.185,0.573,0.018,0.02
2018,-0.194,0.608,0.021,0.023
2020,-0.133,0.658,0.018,0.02
