Threshold 1,Threshold 2,Threshold 3,Threshold 4
-1.0924,-0.2757,0.8471,1.2299
0.0058,0.7012,NA,NA
-0.3695,0.0902,0.511,NA
-0.0469,0.2249,0.5698,NA
-0.084,0.2464,0.8569,NA
