Threshold 1,Threshold 2,Threshold 3,Threshold 4
-1.0882,-0.3665,0.7355,1.0098
-0.0597,0.5501,NA,NA
-1.3641,0.0629,0.4552,NA
-0.4084,-0.0063,0.3558,NA
-0.0979,0.1254,0.4058,NA
0.3628,1.0635,1.5196,NA
-0.1359,0.1446,0.6811,NA
-0.3184,0.6001,1.0281,NA
