Threshold 1,Threshold 2,Threshold 3
-1.3663,0.4692,1.4824
-0.488,0.7679,1.2927
-1.5983,-0.5438,0.3545
-0.7983,0.8353,1.4078
-0.8946,0.7157,1.5237
1.0519,2.8939,NA
-0.7318,0.4572,1.1698
