Threshold 1,Threshold 2,Threshold 3
0.5691,2.8827,NA
0.1398,2.0787,NA
-1.2013,1.1675,2.3927
-1.7667,0.4673,1.9395
-0.579,1.8826,3.0247
-1.8321,-0.7332,0.0636
-0.9048,1.3761,2.1147
-2.1934,0.1088,1.1862
-1.3611,0.8638,2.1493
