Threshold 1,Threshold 2,Threshold 3
-1.4669,0.2768,1.5244
-0.3613,0.7572,1.4392
-1.7418,-0.6551,0.3327
-0.7321,0.8146,1.4095
-0.7472,0.772,1.5061
1.0076,2.797,NA
-0.6707,0.4799,1.2451
